left,top,width,height,text,conf,label
5635,2651,26,22,A,100,no label
5802,2651,25,22,A,100,no label
5969,2651,26,22,A,100,no label
6139,2651,25,22,A,100,no label
6307,2649,26,22,A,100,no label
6442,2645,81,26,TYPE,100,no label
6417,2695,140,26,COLUMN,100,no label
254,2753,37,22,37,100,no label
256,2783,33,-47,36,100,no label
422,2786,35,-52,36,100,no label
424,2754,35,21,36,100,no label
592,2753,33,22,35,100,no label
760,2754,33,22,34,100,no label
928,2753,36,23,33,100,no label
1102,2752,36,26,32,100,no label
1269,2754,34,21,31,100,no label
1439,2739,27,60,30,100,no label
1438,2754,35,24,30,100,no label
1604,2754,36,22,29,100,no label
1637,2739,-29,58,29,100,no label
1772,2754,37,21,28,100,no label
1940,2754,35,22,27,100,no label
2108,2756,37,20,26,100,no label
2276,2753,36,23,25,100,no label
2444,2754,38,22,24,100,no label
2613,2754,36,22,23,100,no label
2647,2743,-31,48,23,100,no label
2782,2751,36,31,22,100,no label
2949,2743,31,46,21,100,no label
2949,2754,31,22,21,100,no label
3150,2739,-30,60,20,100,no label
3118,2756,35,20,20,100,no label
3286,2753,35,22,19,100,no label
3456,2753,31,23,18,100,no label
3624,2754,31,22,17,100,no label
3792,2753,32,23,16,100,no label
3960,2754,33,22,15,100,no label
4128,2756,35,20,14,100,no label
4291,2753,33,22,13,100,no label
4464,2754,34,22,12,100,no label
4633,2756,31,20,11,100,no label
4803,2756,33,20,10,100,no label
4969,2753,16,20,6,100,no label
5137,2754,14,20,8,100,no label
5304,2754,18,21,7,100,no label
5473,2751,15,24,00,100,no label
5473,2756,18,20,6,100,no label
5640,2754,18,21,5,100,no label
5807,2756,21,19,4,100,no label
5976,2756,18,19,3,100,no label
6145,2754,18,21,2,100,no label
6447,2812,92,23,MARK,100,no label
52,2870,113,27,NOTES,100,no label
259,2874,21,19,3,100,no label
428,2874,18,19,3,100,no label
4967,2874,20,19,4,100,no label
6434,2872,113,24,NOTES,100,no label
